state,st,disease,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NYC,NYC,Rubella,22,1,,,,,,,,,,,,,,,,,,,
New York (inc NYC),NY,Rubella,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Rubella,15,1,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,Rubella,5,0,,,,,,,,,,,,,,,,,,,
Ohio,OH,Rubella,1,0,,,,,,,,,,,,,,,,,,,
Indiana,IN,Rubella,3,0,,,,,,,,,,,,,,,,,,,
Illinois,IL,Rubella,1,1,,,,,,,,,,,,,,,,,,,
Michigan,MI,Rubella,2,9,,,,,,,,,,,,,,,,,,,
Wisconsin,WI,Rubella,1,0,,,,,,,,,,,,,,,,,,,
Minnesota,MN,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Iowa,IA,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Missouri,MO,Rubella,1,2,,,,,,,,,,,,,,,,,,,
North Dakota,ND,Rubella,0,0,,,,,,,,,,,,,,,,,,,
South Dakota,SD,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Nebraska,NE,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Kansas,KS,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Delaware,DE,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Maryland,MD,Rubella,3,0,,,,,,,,,,,,,,,,,,,
"Washington, DC",DC,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Virginia,VA,Rubella,0,0,,,,,,,,,,,,,,,,,,,
West Virginia,WV,Rubella,0,0,,,,,,,,,,,,,,,,,,,
North Carolina,NC,Rubella,0,0,,,,,,,,,,,,,,,,,,,
South Carolina,SC,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Georgia,GA,Rubella,0,7,,,,,,,,,,,,,,,,,,,
Florida,FL,Rubella,4,15,,,,,,,,,,,,,,,,,,,
Kentucky,KY,Rubella,1,0,,,,,,,,,,,,,,,,,,,
Tennessee,TN,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Alabama,AL,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Mississippi,MS,Rubella,0,NN,,,,,,,,,,,,,,,,,,,
Arkansas,AR,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Louisiana,LA,Rubella,1,0,,,,,,,,,,,,,,,,,,,
Oklahoma,OK,Rubella,1,4,,,,,,,,,,,,,,,,,,,
Texas,TX,Rubella,22,9,,,,,,,,,,,,,,,,,,,
Montana,MT,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Idaho,ID,Rubella,2,0,,,,,,,,,,,,,,,,,,,
Wyoming,WY,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Colorado,CO,Rubella,3,0,,,,,,,,,,,,,,,,,,,
New Mexico,NM,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Arizona,AZ,Rubella,2,0,,,,,,,,,,,,,,,,,,,
Utah,UT,Rubella,4,4,,,,,,,,,,,,,,,,,,,
Nevada,NV,Rubella,1,1,,,,,,,,,,,,,,,,,,,
Washington,WA,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Oregon,OR,Rubella,0,0,,,,,,,,,,,,,,,,,,,
California,CA,Rubella,41,0,,,,,,,,,,,,,,,,,,,
Alaska,AK,Rubella,1,0,,,,,,,,,,,,,,,,,,,
Hawaii,HI,Rubella,28,0,,,,,,,,,,,,,,,,,,,
